PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
CHEBI:10014	chemical-affects	ABCB1	DrugBank			http://pathwaycommons.org/pc12/Control_ff5e121024993a0ed216b49ff5a8436a;http://pathwaycommons.org/pc12/BiochemicalReaction_e48e10455404bb0599038f9b03462e5e
CHEBI:100241	chemical-affects	KCNH2	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_2eb5030a735746510093134c2c1d3619;http://pathwaycommons.org/pc12/Control_055196bd66df12d611ff6e7daebd602f
CHEBI:100241	chemical-affects	TOP2A	DrugBank			http://pathwaycommons.org/pc12/Control_9049c123dbfdfb5c77bcf23991892db3;http://pathwaycommons.org/pc12/BiochemicalReaction_96b602ed453ef692b642abda9dc353ac
CHEBI:100246	chemical-affects	TOP2A	DrugBank			http://pathwaycommons.org/pc12/Control_1ac2b4f1c0f4ad92b73ad81bc9be9f39;http://pathwaycommons.org/pc12/BiochemicalReaction_96b602ed453ef692b642abda9dc353ac
CHEBI:10055	chemical-affects	ADRB1	DrugBank			http://pathwaycommons.org/pc12/Control_926e8e385422c10444d4d66094eed473;http://pathwaycommons.org/pc12/BiochemicalReaction_fdc8632b82186154daef802d046d5720
CHEBI:10082	chemical-affects	ADRA1A	DrugBank			http://pathwaycommons.org/pc12/Control_2cd3c2e83d551877dab8b21f8eae37f2;http://pathwaycommons.org/pc12/BiochemicalReaction_96c637bcd965c61e3e6e1514323f80e0
CHEBI:10082	chemical-affects	ADRA1B	DrugBank			http://pathwaycommons.org/pc12/Control_eb3ba52e8f69614c1daf960d9b5a50c9;http://pathwaycommons.org/pc12/BiochemicalReaction_b82e92a2961ef84f9eeaf5db76bee9ea
CHEBI:10082	chemical-affects	ADRA1D	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_fffc93ce4bd92d0a55ffb92720b5055c;http://pathwaycommons.org/pc12/Control_fff771fc0782b0360e0266e549c1f341
CHEBI:10082	chemical-affects	ADRA2A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_2612a1ef41ae12d1e9aa263254b2de30;http://pathwaycommons.org/pc12/Control_34fcc3518d369f321c629bd6b702c68b
CHEBI:10082	chemical-affects	ADRA2B	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_850ce157f78c91b70416ca9c69c06923;http://pathwaycommons.org/pc12/Control_5580eb2ef62851e7124bfd464a7018ac
