CHEBI_ID	DRUG_NAME	GENES_AFFECTED
CHEBI:114785	erlotinib	ENSG00000144852, ENSG00000146648
CHEBI:133021	venetoclax	ENSG00000171791
CHEBI:175901	gemcitabine	ENSG00000176890, ENSG00000162368, ENSG00000167325
CHEBI:27375	vincaleukoblastine	ENSG00000074935, ENSG00000177606, ENSG00000196230, ENSG00000108423, ENSG00000131462, ENSG00000167552
CHEBI:27656	camptothecin	ENSG00000198900
CHEBI:27899	cisplatin	ENSG00000091513, ENSG00000103152, ENSG00000175899, ENSG00000177556
CHEBI:28445	vincristine	ENSG00000127824, ENSG00000196230
CHEBI:28680	cytarabine	ENSG00000070501
CHEBI:31638	fulvestrant	ENSG00000091831
CHEBI:4027	cyclophosphamide	ENSG00000144852
CHEBI:40953	doramapimod	ENSG00000112062
CHEBI:41774	tamoxifen	ENSG00000091831, ENSG00000140009, ENSG00000169083, ENSG00000129214, ENSG00000163558, ENSG00000065675, ENSG00000196482, ENSG00000154229, ENSG00000126583, ENSG00000067606, ENSG00000163932, ENSG00000171132, ENSG00000144852, ENSG00000147155, ENSG00000055118, ENSG00000166501
CHEBI:45716	vorinostat	ENSG00000196591, ENSG00000116478, ENSG00000147099, ENSG00000094631, ENSG00000171720
CHEBI:45863	paclitaxel	ENSG00000047849, ENSG00000186868, ENSG00000078018, ENSG00000101162, ENSG00000144852, ENSG00000171791
CHEBI:46345	5-fluorouracil	ENSG00000176890
CHEBI:4672	docetaxel	ENSG00000047849, ENSG00000186868, ENSG00000078018, ENSG00000101162, ENSG00000144852, ENSG00000171791
CHEBI:480999	vinorelbine	ENSG00000196230
CHEBI:49603	lapatinib	ENSG00000146648, ENSG00000141736
CHEBI:49668	gefitinib	ENSG00000146648
CHEBI:50729	mitoxantrone	ENSG00000131747
CHEBI:50924	sorafenib	ENSG00000157764, ENSG00000102755, ENSG00000113721, ENSG00000165731, ENSG00000122025, ENSG00000077782, ENSG00000132155, ENSG00000037280, ENSG00000128052, ENSG00000157404
CHEBI:52172	nilotinib	ENSG00000097007, ENSG00000157404
CHEBI:52717	bortezomib	ENSG00000281184, ENSG00000100804
CHEBI:61390	afatinib	ENSG00000178568, ENSG00000146648, ENSG00000141736
CHEBI:63612	nelarabine	ENSG00000101868
CHEBI:63632	topotecan	ENSG00000184428, ENSG00000198900
CHEBI:6402	leflunomide	ENSG00000106546, ENSG00000102967, ENSG00000120899
CHEBI:64310	crizotinib	ENSG00000171094, ENSG00000105976
CHEBI:66910	axitinib	ENSG00000128052, ENSG00000102755, ENSG00000037280
CHEBI:66919	ruxolitinib	ENSG00000096968, ENSG00000162434
CHEBI:75045	dabrafenib	ENSG00000157764, ENSG00000114670, ENSG00000106683, ENSG00000132155, ENSG00000142178
CHEBI:75988	teniposide	ENSG00000131747
CHEBI:75998	trametinib	ENSG00000126934, ENSG00000169032
CHEBI:76612	ibrutinib	ENSG00000010671
CHEBI:80630	irinotecan	ENSG00000184428, ENSG00000198900
CHEBI:83766	olaparib	ENSG00000143799, ENSG00000129484, ENSG00000041880
CHEBI:85993	palbociclib	ENSG00000135446, ENSG00000105810
CHEBI:90943	osimertinib	ENSG00000146648
CHEBI:9168	sirolimus	ENSG00000198793, ENSG00000138685, ENSG00000088832
