CHEBI_ID	DRUG_NAME	GENES_AFFECTED
CHEBI:10093	yohimbine	HTR2B, DRD3, HTR2C, HTR2A, KCNJ8, KCNJ10, KCNJ15, ADRA2B, HTR1B, ADRA2C, KCNJ14, ADRA2A, KCNJ11, KCNJ12, HTR1A, HTR1D, DRD2, KCNJ1
CHEBI:10429	beta-lapachone	RBP3
CHEBI:114785	erlotinib	NR1I2, EGFR
CHEBI:133021	venetoclax	BCL2
CHEBI:134689	rucaparib	PARP1, PARP2, PARP3
CHEBI:135002	irofulven	FUBP1
CHEBI:135233	dimetacrine	ACHE
CHEBI:135356	calusterone	AR
CHEBI:135876	valrubicin	TOP2A
CHEBI:137236	ilomastat	ACAN, ADAM28
CHEBI:138488	alsterpaullone	GSK3B, CDK5, CDK1
CHEBI:141969	tipifarnib	FNTB
CHEBI:143117	lorlatinib	ALK
CHEBI:157175	enoxacin	TOP2A
CHEBI:15738	staurosporine	LCK, CSK, CHRM1, MAPKAPK2, PDPK1, PRKCQ, SYK, ITK, CDK2, PIK3CG, ZAP70, PIM1, GSK3B
CHEBI:15891	taurine	GABRG1, GABRD, GABRA6, GABRQ, GABRG3, GLRA3, GABRE, GABRB3, GABRA2, GABRG2, GABRP, GLRA2, GABRB2, GABRA4, GABRA5, GRIN2B, GABRB1, GABRA3, GABRA1, GABBR1, GLRA1
CHEBI:15940	nicotinic acid	QPRT, HCAR3, HCAR2, NNMT
CHEBI:16196	oleic acid	PMP2, PPARD, PPARG, RXRA, GLTP, PPARA
CHEBI:16243	quercetin	SHBG, AHR, UBA1, CEBPB, ATP5F1B, ATP5F1A, EIF3F, RUVBL2, HIBCH, STK17B, HSP90AA1, PIK3CG, CSNK2B, HSPA2, CYP1B1, NQO2, SF3B3, ESR2, PIM1, HCK, CSNK2A1, ESR1, ATP5F1C, ACTB, UGT3A1, CBR1, NR1I2
CHEBI:164200	triclosan	AR, PPARG, TPO, NR1I3, NR1I2
CHEBI:16664	albendazole	TUBB4B, TUBA1A
CHEBI:16708	adenine	ACP1, MTAP, PECR, ACACB, SRPK2, APRT
CHEBI:16755	chenodeoxycholic acid	NR1I2, AKR1C2, GPBAR1, NR1H4
CHEBI:16796	melatonin	ESR1, MTNR1B, NQO2, MPO, RORB, MTNR1A, CALM1, EPX, CALR, ASMT
CHEBI:168396	mycophenolic acid	IMPDH2, IMPDH1
CHEBI:17026	progesterone	ESR1, ESR2, AR, PGR, SHBG, NR3C2, CYP17A1, ORM1, OPRK1, NR3C1
CHEBI:17154	nicotinamide	SIRT5, PARP1, BST1, LDHA
CHEBI:171741	cerulenin	FASN
CHEBI:17549	aminolevulinic acid	ALAD
CHEBI:17568	uracil	DPYD, UCKL1
CHEBI:175901	gemcitabine	TYMS, CMPK1, RRM1
CHEBI:17650	hydrocortisone	NR3C1, ANXA1, HSD3B1, HSD11B2
CHEBI:17698	chloramphenicol	CD55
CHEBI:17939	puromycin	RPL19, RPL26L1, RPL3, RSL24D1, RPL13A, RPL15, RPL8, RPL11, RPL10L, RPL23A, RPL37, RPL23
CHEBI:18152	myricetin	PIK3CG, JAK1
CHEBI:23359	colchicine	TUBB1, TUBB
CHEBI:2636	amifostine	ENPP1, ALPG
CHEBI:2654	aminoglutethimide	CYP11A1, CYP19A1
CHEBI:2675	amoxapine	ADRA1B, GABRG1, GABRD, GABRA6, HTR2B, HTR2C, SLC6A4, ADRA2B, DRD4, HRH1, ADRA1D, GABRQ, GABRG3, GABRE, DRD2, GABRB3, HRH4, CHRM5, GABRA2, GABRG2, CHRM2, GABRP, HTR6, CHRM3, GABRB2, HTR7, GABRA4, GABRA5, HTR1B, ADRA2A, CHRM4, GABRB1, ADRA1A, GABRA3, DRD3, CHRM1, HTR3A, GABRA1, SLC6A2, SLC6A3, ADRA2C, HTR1A, HTR2A, DRD1
CHEBI:2687	amsacrine	KCNH2, TOP2A, ORM1, ALB
CHEBI:2704	anastrozole	CYP19A1
CHEBI:27375	vincaleukoblastine	TUBE1, JUN, TUBB, TUBD1, TUBG1, TUBA1A
CHEBI:27656	camptothecin	TOP1
CHEBI:27666	actinomycin d	TOP2B, TOP2A
CHEBI:27744	glyphosate	CYP19A1
CHEBI:27899	cisplatin	TF, MPG, A2M, ATOX1
CHEBI:28077	rifampicin	CYP51A1, SLCO1B3, SLCO2B1, SLCO1A2, SLCO1B1, NR1I2, ALB
CHEBI:28088	genistein	ESR1, ESR2, NCOA2, SHBG, AKT1, NR1I2, ESRRB, PTK2B, TOP2A, CYP1B1, ESRRA, GPER1, NCOA1
CHEBI:28241	papaverine	PDE4B, PDE10A
CHEBI:28445	vincristine	TUBA4A, TUBB
CHEBI:28487	reserpine	SLC18A2, SLC18A1, BIRC5
CHEBI:28572	rescinnamine	ACE
CHEBI:28584	gossypol	BCL2L1
CHEBI:28680	cytarabine	POLB
