CHEBI_ID	DRUG_NAME	COUNT
CHEBI:10093	yohimbine	18
CHEBI:10429	beta-lapachone	1
CHEBI:114785	erlotinib	2
CHEBI:133021	venetoclax	1
CHEBI:134689	rucaparib	3
CHEBI:135002	irofulven	1
CHEBI:135233	dimetacrine	1
CHEBI:135356	calusterone	1
CHEBI:135876	valrubicin	1
CHEBI:137236	ilomastat	2
CHEBI:138488	alsterpaullone	3
CHEBI:141969	tipifarnib	1
CHEBI:143117	lorlatinib	1
CHEBI:157175	enoxacin	1
CHEBI:15738	staurosporine	13
CHEBI:15891	taurine	21
CHEBI:15940	nicotinic acid	4
CHEBI:16196	oleic acid	6
CHEBI:16243	quercetin	27
CHEBI:164200	triclosan	5
CHEBI:16664	albendazole	2
CHEBI:16708	adenine	6
CHEBI:16755	chenodeoxycholic acid	4
CHEBI:16796	melatonin	10
CHEBI:168396	mycophenolic acid	2
CHEBI:17026	progesterone	10
CHEBI:17154	nicotinamide	4
CHEBI:171741	cerulenin	1
CHEBI:17549	aminolevulinic acid	1
CHEBI:17568	uracil	2
CHEBI:175901	gemcitabine	3
CHEBI:17650	hydrocortisone	4
CHEBI:17698	chloramphenicol	1
CHEBI:17939	puromycin	12
CHEBI:18152	myricetin	2
CHEBI:23359	colchicine	2
CHEBI:2636	amifostine	2
CHEBI:2654	aminoglutethimide	2
CHEBI:2675	amoxapine	44
CHEBI:2687	amsacrine	4
CHEBI:2704	anastrozole	1
CHEBI:27375	vincaleukoblastine	6
CHEBI:27656	camptothecin	1
CHEBI:27666	actinomycin d	2
CHEBI:27744	glyphosate	1
CHEBI:27899	cisplatin	4
CHEBI:28077	rifampicin	7
CHEBI:28088	genistein	13
CHEBI:28241	papaverine	2
CHEBI:28445	vincristine	2
CHEBI:28487	reserpine	3
CHEBI:28572	rescinnamine	1
CHEBI:28584	gossypol	1
CHEBI:28680	cytarabine	1
CHEBI:28689	dehydroepiandrosterone	33
CHEBI:28748	doxorubicin	2
CHEBI:28794	coumarin	1
CHEBI:28834	deoxycholic acid	4
CHEBI:28869	menadione	13
CHEBI:2896	astemizole	4
CHEBI:29063	mimosine	3
CHEBI:2922	auranofin	2
CHEBI:2948	azathioprine	2
CHEBI:29579	epothilone d	12
CHEBI:3023	benzbromarone	2
CHEBI:3070	bestatin	1
CHEBI:31348	capecitabine	1
CHEBI:31502	dinoprost tromethamine	2
CHEBI:31515	domperidone	2
CHEBI:31550	epothilone b	12
CHEBI:31625	fluorometholone	1
CHEBI:31638	fulvestrant	1
CHEBI:31821	mequitazine	1
CHEBI:32181	tamibarotene	2
CHEBI:32188	tegafur	2
CHEBI:34283	oxybenzone	4
CHEBI:34848	mevastatin	1
CHEBI:34892	nocodazole	1
CHEBI:351346	phenethyl isothiocyanate	46
CHEBI:36386	dichloroacetic acid	2
CHEBI:3647	chlorpromazine	26
CHEBI:36704	imiquimod	2
CHEBI:3699	cimetidine	1
