"cell_line","IC50","AAC","ENSG00000198793","ENSG00000138685","ENSG00000088832"
"AGS",1.11599818950971,0.331088375657795,4.83865267398424,3.36687575462928,3.32120731784575
"ALL-PO",11.3662804872033,0.0260306778516371,5.40780671131341,3.26097923222152,3.72286567389355
"ALL-SIL",0.865727122948489,0.353513849996587,5.37915153279226,3.32184610932304,4.16107488913412
"ARH-77",11.4435407887328,0.250635047744102,5.03301104268717,3.69233131415257,4.08258732649886
"BALL-1",7.64379183305357,0.0495300894834067,5.06833058564421,3.31937184199498,3.81845349705917
"BC-1",5.1392283569881,0.100819314246798,5.02506377464591,4.53686309864728,3.65935076605661
"BFTC-909",62.6417046866957,0.276209186795252,4.94488451930818,5.18860364846192,3.73154586939973
"BL-41",1.51246770078694,0.290574448316004,5.5211353158021,3.07095245241195,3.77428949724136
"BT-549",0.36167446213219,0.182719718453713,5.52466985557037,7.590444719789,3.34790023979925
"BxPC-3",4.86353789748466,0.0448864870483734,5.24826050935678,3.29945692481383,3.45807435639731
"C2BBe1",37.2060253206559,0.0908096053337735,4.56252437130433,3.17625328796981,3.61620896051538
"Ca-Ski",32.7177504555738,0.0145200492137287,5.37137540671303,3.11314015347389,3.65799794292983
"Ca9-22",1143.86417900015,0.223143532395781,4.61057750910727,3.08150150618478,3.87189295802899
"CADO-ES1",16.1472279719719,0.046447905727152,4.64064369100828,3.91980036674689,4.0203426623732
"CAL-120",16.5830890588399,0.0400876516467135,5.04203556881065,8.54198202562907,3.46698826560711
"CAL-148",6.90680386139433,0.0609993661570844,5.04231729377676,3.31917562772246,3.46591572186743
"CAL-27",1.9631104851491,0.170645665902146,4.79111452192555,3.79260692353972,3.18292352322607
"CAL-51",4.2207009318855,0.470643497762974,4.90560188904144,4.80605627409075,3.6082996758224
"CAL-62",6.32102867213432,0.0119577808094294,4.3339710339712,4.53267171138182,5.03756656942818
"CAL-85-1",10.4869397804692,0.10147168153463,4.53087053832671,3.36801633674521,3.92951637679649
"CAMA-1",18347.0518008475,0.120613005683609,4.86882433931238,3.18793310815045,3.42194242063812
"CaR-1",0.74078534984817,0.40007783659626,4.55112027016915,4.1326326960525,3.41453269571752
"CFPAC-1",17681.7552746906,0.145298684048258,4.69945003396252,3.99321938830861,4.18648911441788
"CHP-212",0.298677800788465,0.361051246900792,4.11680981597592,4.53152558217047,4.30543429829394
"CL-40",1062.28359827619,0.0783987081547068,4.81437117526254,3.16222563113056,3.40868279989434
"CML-T1",10.1604598851229,0.187099704288299,4.706946356338,3.34340838327834,3.36942875491136
"COLO-205",0.00900249829197178,0.608993322454954,4.87258517204643,3.26795426210989,3.42025448225167
"COLO-679",3.26185809934177,0.203640080167104,5.14158021073697,3.22934753086561,3.79243525291085
"COLO-684",21.3752904958204,0.117729362522123,5.0670783768846,3.87512936902543,3.55785892714665
"COLO-792",0.0491541407867163,0.184154989838625,4.75818316264508,3.2723479670553,3.25084120610163
"COLO-824",5.74903416851543,0.0996018919581082,4.73360201557109,4.54951498919908,3.51147796796105
"COLO-829",5.36679153899912,0.156675594514825,4.26429622323223,4.09901634411067,3.61787104055681
"COR-L105",0.16102633746377,0.0050186948522836,4.54918565669846,3.2875455041921,3.8508404838164
"COR-L279",5.81445922025741,0.0797984731355837,4.47257055245488,3.60862471568886,4.45536666748998
"COR-L32",1.56016217344685,0.340108898757969,4.98221680810738,3.45805609489447,4.09649036708245
"CPC-N",10.2447920884679,0.227348779323189,4.41848727919205,3.3551495825849,2.9185078529581
"Daoy",5.6166801663282,0.168325011540262,5.09592188422296,3.49551386626498,3.57082315895933
"Daudi",1.77095533995846,0.427292354975885,4.44710921575842,3.47972639395946,3.28476966273905
"DB",4.9037595953284,0.238872510382259,4.95099174691317,3.18546302395393,4.91111551030842
"DEL",26.3418302557951,0.0384368150064987,4.78310693406623,4.5673128131064,3.09167827423852
"DG-75",14.7025291089991,0.100295060099586,5.41900346862097,3.24157571194269,3.31612465749154
"DiFi",23.1697652417844,0.0223158603017585,4.55506077657911,3.34374836045052,3.75441565209697
"DMS-114",6.10510981863101,0.0744986796671083,5.96277532019036,4.82002291758356,4.17951049444368
"DMS-273",8.76476384634688,0.0607557438629491,4.67916301185801,4.35404029705398,4.10421586506091
"DMS-53",1.40144829049096,0.00834283504957071,4.83112262384909,3.19692876131017,3.45200758844748
"DOK",4.19016014441099,0.144403195184957,4.88858188711444,3.09944441763117,3.64492313126318
"DoTc2-4510",148.108164048197,0.152275063560586,5.54891250816597,3.81684067418135,3.45350182802009
"EBC-1",1.4689618896629,0.287736876840926,4.63083004658317,3.38986628453343,3.64900019196962
"EC-GI-10",44.2117630835803,0.00695905065615918,4.11191432997722,5.43168769587467,4.38910658595285
"EFO-21",21.7045329471225,0.126054032524723,4.68510532180254,5.8179431815856,3.43473441172508
"EGI-1",13.1431666640998,0.113449023900297,4.38717584401102,3.51768007450808,3.19644750634215
"EKVX",2.91666393769483,0.0731513994632947,4.56293904539506,5.15331029252201,3.29526859145303
"EMC-BAC-2",238.576824214657,0.145401575176401,5.02040275304795,7.73527574130665,3.21533817090246
"EPLC-272H",1.34741543078377,0.214246332956758,4.84464358045647,3.88793353331846,3.37055214172697
"ES-2",1.79115348486068,0.172054022307722,4.73786893179683,6.06929742500186,3.57148510011601
"ES6",21.6089288992033,0.186602251337068,5.03626698904922,3.76772146380126,4.71667377619382
"ES8",2.75913752795972,0.232016170687375,4.94755769374656,4.68906483652818,3.23513473393538
"ESS-1",2.30490370604204,0.288751482734274,4.86553694206958,8.14891216098554,4.03196445543096
"EW-22",0.506809390209267,0.324941516393534,5.44946051096072,3.37842579399806,4.32256037378774
"EW-24",0.00938848059992997,0.326447390433415,4.79390098033865,4.52710065525107,3.04722724847895
"EW-7",0.127330302257096,0.163993760045453,4.38938035981147,3.66791245999338,3.96826969436853
