"","Drug","MSE_Mean","MSE_SD","RMSE_Mean","RMSE_SD","MAE_Mean","MAE_SD","R2_Mean","R2_SD","PEARSON_Mean","PEARSON_SD"
"MSE","5-Fluorouracil",0.00636268435108593,0.00170100686421073,0.0790942459954014,0.0108926377534379,0.0606298225435779,0.00764779812554116,-0.00768802709755396,0.193222587326688,0.249495662230969,0.219844481664055
"MSE1","Bortezomib",0.00534393951945449,0.00153076181616944,0.0724671295739606,0.0101354521230785,0.0584154054793881,0.00688929963549295,0.0458053861962802,0.133322374834708,0.298879599848532,0.157196183776136
"MSE2","Crizotinib",0.00268723978192638,0.00156501421533771,0.0503732981025336,0.012900069775852,0.0381446500958227,0.00513138889722966,-0.325184342743177,0.471787818165724,0.10501677244905,0.200175732240665
"MSE3","Erlotinib",0.00356837238387422,0.00101154443055556,0.0592052659315219,0.00837382627609462,0.0442259176853528,0.00541331028749497,0.111130358706927,0.242128276469259,0.477366797393126,0.132617331529589
"MSE4","Gefitinib",0.003603736983125,0.00189438112586984,0.0582261316566003,0.0154003815044103,0.0438858699761988,0.0110832796782085,0.1439938414293,0.256736038890042,0.523621562018809,0.0979070080780769
"MSE5","Gemcitabine",0.0277815625308821,0.00649764128601853,0.165671200520134,0.019281996470507,0.136387663837505,0.0189284188909467,0.173122347794973,0.172423988753879,0.436363595308141,0.169247906990593
"MSE6","Lapatinib",0.00943643026984238,0.00363386495302291,0.095564577855222,0.0183739468086865,0.0727979387861172,0.0142460445697497,-0.0746031537983906,0.345950688416292,0.31424636692188,0.204916745138754
"MSE7","Nilotinib",0.00317486252670057,0.00119265563489528,0.0556069245531966,0.0095877507752616,0.0421526993730333,0.00639656995519736,-0.232809362410172,0.269867051199609,0.131174935213936,0.240526615693836
"MSE8","Vincristine",0.0355257943069023,0.00986483121088548,0.18690757792086,0.0256331300958545,0.150068327510327,0.0187115407314504,0.32194615845889,0.182166220588544,0.59010837970562,0.125571166647091
"MSE9","Vorinostat",0.0044494342676134,0.00173593958227926,0.0655212485747945,0.0131824906099548,0.052842156365092,0.00944930580129495,0.421463243834273,0.170227046316967,0.675810676094167,0.116836055927484
"MSE10","Paclitaxel",0.00305880296166648,0.000917829529751155,0.0547295819083902,0.00839813642021548,0.0422705499920999,0.00709593056400504,0.0226320120743408,0.240056852609409,0.305766193106379,0.212606186307194
"MSE11","Dabrafenib",0.0114057060605802,0.00794519608891687,0.101728310150333,0.0342710920381365,0.0689906666520176,0.0158448407676277,-0.39463771364175,0.594925127528721,0.172750330551454,0.209300416844888
"MSE12","Ibrutinib",0.0113755924128324,0.00517416945594625,0.104283676869475,0.0235821766834208,0.0791561176441607,0.0150593046396638,0.0562530461336462,0.24057328245707,0.457937802245604,0.15223145330273
"MSE13","Docetaxel",0.0147435809968045,0.00521069032593207,0.119705725441044,0.0214507263134676,0.095224950134035,0.0157979100509322,0.135225201221912,0.22357891155056,0.410715684545689,0.223923160320569
