"","Drug","MSE_Mean","MSE_SD","RMSE_Mean","RMSE_SD","MAE_Mean","MAE_SD","R2_Mean","R2_SD","PEARSON_Mean","PEARSON_SD"
"MSE","5-Fluorouracil",0.00611086672958634,0.00210135084065652,0.0770231072046071,0.0140754982597395,0.0594390168623548,0.00953635666625982,0.0330622060129275,0.119938047632177,0.287262492620897,0.109486672935218
"MSE1","AZD7762",0.0167084735673097,0.00473001391781758,0.128025064092999,0.0187988336308772,0.104193803183642,0.0157374178217876,0.253395103945971,0.173349762781772,0.554450733514672,0.154590640407063
"MSE2","AZD8055",1.36185793223377,1.64531724467955,0.940262874015159,0.728593515680513,0.831174831941152,0.593687477661795,-Inf,NA,-0.333333333333333,1.15470053837925
"MSE3","Bortezomib",0.0056127557494503,0.00147324646667979,0.0742942085614524,0.0101722019727904,0.0594306712414313,0.00714438271657536,0.0169776506270315,0.168996288553241,0.250866352686831,0.202168876218032
"MSE4","Crizotinib",0.00232457097621689,0.00129833770718773,0.0468754100771694,0.01189149585554,0.0361573166391853,0.00470004341082224,-0.120143481233103,0.291245180591325,0.0644689988322235,0.297244883614884
"MSE5","Dasatinib",0.0185859528525622,0.0146784094031964,0.130026700923637,0.043192204794091,0.0995069588006727,0.0164542698567148,0.135286849500072,0.168562549603782,0.395391551625758,0.233307338273531
"MSE6","Erlotinib",0.00409236269795631,0.00126460270287238,0.0633239863735382,0.00957052464138704,0.0478338313741746,0.0048263590237083,0.0271842585609883,0.104207901616888,0.251599536927181,0.16449873543722
"MSE7","Gefitinib",0.00398767846747917,0.00218003169884036,0.0609620384495113,0.0173624222439498,0.042359960201429,0.00882669037643521,0.049435265771605,0.296034650600907,0.388315211253516,0.253541267669389
"MSE8","Gemcitabine",0.0282826378972516,0.0105464533228186,0.165926319262126,0.0288885689306452,0.135644592661696,0.0236510520241376,0.159399055166068,0.214343355555859,0.448102139212656,0.213345696208441
"MSE9","JQ1 compound",1.31312053479783,1.76563129257546,0.928490251017996,0.750854836638185,0.928490251017996,0.750854836638185,-Inf,NA,NA,NA
"MSE10","Lapatinib",0.00724612425781206,0.00285782247315095,0.0837130539109734,0.016270247649229,0.0632908424539192,0.011206211778045,0.124383102423461,0.249230726815112,0.471811067880611,0.220715555993747
"MSE11","MK-2206",0.00879673569467691,0.00234285382805647,0.0930480589515417,0.0124183743804329,0.0733477854634908,0.00756355944730064,-0.00182947097182009,0.184679707776195,0.216218797019226,0.234973495498381
"MSE12","Nilotinib",0.00291758734639196,0.00169445770287433,0.0522897978325376,0.0142736894329042,0.0405664804484822,0.00627816744423713,-0.0784819942437295,0.17513416349488,0.101423415334592,0.263743669648604
"MSE13","PLX4720",0.00418275107474995,0.00355933927164246,0.0607963526845217,0.0232511546907817,0.0421392508861578,0.00920608189973663,-0.162977800311453,0.229417268025478,0.084653770594868,0.20634489616238
"MSE14","Pictilisib",0.00918169891804582,0.00460057971734842,0.0937296230963401,0.0209882684761392,0.0735856744067614,0.0105544812199031,-0.0288197889886978,0.146927220457826,0.126747144092129,0.2185477070881
"MSE15","Vincristine",0.0377500767637975,0.00839103809579392,0.193180046446844,0.0218973975773061,0.157357738845882,0.0196233195197877,0.271823635091956,0.177862741101098,0.547245715998848,0.138188931898123
"MSE16","Vorinostat",0.00436659625268269,0.00137197768020258,0.065442992277284,0.00965004401130039,0.0525108045931185,0.00749825195554847,0.427556904109015,0.133910276128738,0.678821390396725,0.110193739915963
"MSE17","Paclitaxel",0.00321809178516964,0.00156449286031264,0.0553206806043366,0.0132377441281703,0.0444629806808967,0.00813147510587017,-0.0344585357337687,0.0887673830715615,0.169194702985239,0.165131399961276
"MSE18","Dabrafenib",0.00897280209631953,0.00492628062374899,0.0912333185721312,0.0268593802905997,0.0647084142354856,0.0143151229111621,-0.127718984779402,0.552078564366163,0.292087021458327,0.295107258069607
"MSE19","Ibrutinib",0.0129955009773079,0.00787372435206337,0.109480654988711,0.0334910794184343,0.0789223185143905,0.0152632249592457,-0.018180848109886,0.273020733933371,0.33589966485624,0.198782527446526
"MSE20","Docetaxel",0.0155231840765321,0.00351630336491928,0.123834603171205,0.0144597192981181,0.100504313066155,0.0122150301026973,0.0807986386867559,0.145006444771862,0.351537065169044,0.189182226511102
