"","Drug","MSE_Mean","MSE_SD","RMSE_Mean","RMSE_SD","MAE_Mean","MAE_SD","R2_Mean","R2_SD","PEARSON_Mean","PEARSON_SD"
"MSE","5-Fluorouracil",0.00631450488343241,0.00142281766304534,0.0790233760859222,0.00880725177310031,0.0593763404224675,0.00453415290321048,0.0133881232340497,0.155853905729376,0.229820060800776,0.195438975587648
"MSE1","AZD7762",0.0190998279020152,0.0058528541238645,0.136528391561167,0.0226034952984368,0.112431258296604,0.0194834211695889,0.123322928825531,0.255605379143627,0.402286905137477,0.21594641048446
"MSE2","AZD8055",0.0581172683073477,0.128814337406515,0.156962594878888,0.192873050119715,0.145510051310434,0.164081146778631,-Inf,NA,0.333333333333333,1.15470053837925
"MSE3","Bortezomib",0.00530489115633193,0.00170311636487932,0.0720996722076309,0.0108795641193381,0.0590758671302518,0.00786536369064728,0.0640337620663431,0.0911120998606638,0.30388931354203,0.112138756340102
"MSE4","Crizotinib",0.0022245936564662,0.00116932391023622,0.0457793755762559,0.0119648758323086,0.0354838091176214,0.00605507282038956,-0.0280562600211545,0.13990568414345,0.147170476551942,0.256428865906808
"MSE5","Dasatinib",0.0207927438314396,0.0102212347601679,0.141110925919698,0.0312774398200132,0.110795777925564,0.0142901550521534,-0.0326177933125311,0.193127743950322,0.182660824099238,0.23114676491282
"MSE6","Erlotinib",0.00414052060250636,0.00180314985695928,0.0630031175971943,0.013789197685969,0.047817371641337,0.00788160708711334,-0.0227640118081332,0.245342501491086,0.232861893112944,0.308386262676576
"MSE7","Gefitinib",0.00309584342705408,0.00156176723894005,0.0543404658659476,0.0126032269468252,0.0390731688129985,0.00503243594449258,0.269848702718244,0.146840526030651,0.581194028935883,0.101783784247152
"MSE8","Gemcitabine",0.0293214402222711,0.00700069756383633,0.170055856145809,0.0211462109237104,0.138488014132128,0.0190034554968638,0.113188355064726,0.207992886949893,0.397699215775058,0.225247494972553
"MSE9","JQ1 compound",1.3350982206932,2.87624233945988,0.677128870282272,1.04677762306725,0.677128870282272,1.04677762306725,-Inf,NA,NA,NA
"MSE10","Lapatinib",0.00980434489784237,0.00500795842084028,0.0961282961792519,0.0250265541534589,0.0716816221176915,0.0142970621597647,-0.049413320998445,0.137461922622815,0.129737818479862,0.162548567601949
"MSE11","MK-2206",0.00936719197179976,0.00259692897457113,0.0959307448384279,0.0135188825369966,0.0755023712193446,0.00782162058000026,-0.0736504017690273,0.0845118429234494,-0.00296811674728767,0.111012695588541
"MSE12","Nilotinib",0.00289188781435806,0.00165825181115883,0.0523877789599564,0.0127979351633513,0.040711481860756,0.00509489559869799,-0.0932692582993505,0.164954140751998,0.0620235778141514,0.155649953070284
"MSE13","PLX4720",0.00329840882975153,0.00192629258783424,0.0553387801769637,0.0161942458325727,0.0395833647183795,0.00703933002804856,0.0418567997920312,0.237472741170282,0.413895407707156,0.198930065474435
"MSE14","Pictilisib",0.00962261310058681,0.00378057513371437,0.096516826510139,0.0184726615118591,0.0759011774442644,0.0103703407386946,-0.099995689665541,0.193587545818969,0.0239028889219567,0.251258200929669
"MSE15","Vincristine",0.0458513698191312,0.0108225123206481,0.212567432304741,0.027212263217986,0.177983836176278,0.0255521868529315,0.11758240524925,0.205429117633772,0.383403245470863,0.204335616514986
"MSE16","Vorinostat",0.0058627722078073,0.0023987540607866,0.0752307302546244,0.0150225546415766,0.0606248534451333,0.0127971896299683,0.23753344217963,0.180104451090216,0.516674336577937,0.166837639837027
"MSE17","Paclitaxel",0.00320066762320474,0.00139066803748119,0.0553400801054702,0.0123892048496027,0.0443061757620172,0.00745705015257204,-0.00346963123563224,0.167937051006646,0.168222977036833,0.269176604147769
"MSE18","Dabrafenib",0.0103555864208723,0.00654044051630343,0.0972514327976682,0.03158313965944,0.0656711158028414,0.010902955960248,-0.239898428545288,0.376827953347678,0.0141375309351623,0.215268373327669
"MSE19","Ibrutinib",0.0128884476008653,0.00484707011037778,0.111697643192167,0.0213979258127905,0.0795523047338512,0.00898337629729911,0.00337013785638518,0.199783287629446,0.286167682866117,0.139883656639002
"MSE20","Docetaxel",0.0168153900828229,0.00320506598452883,0.129099073829734,0.0128590313756441,0.102435130155151,0.00882180974389424,0.0170477215759805,0.119899215310389,0.25396348307287,0.143886093446097
