PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B
CHEBI:10014	chemical-affects	ABCB1
CHEBI:100241	chemical-affects	KCNH2
CHEBI:100241	chemical-affects	TOP2A
CHEBI:100246	chemical-affects	TOP2A
CHEBI:10055	chemical-affects	ADRB1
CHEBI:10082	chemical-affects	ADRA1A
CHEBI:10082	chemical-affects	ADRA1B
CHEBI:10082	chemical-affects	ADRA1D
CHEBI:10082	chemical-affects	ADRA2A
CHEBI:10082	chemical-affects	ADRA2B
CHEBI:10082	chemical-affects	ADRA2C
CHEBI:10093	chemical-affects	ADRA2A
CHEBI:10093	chemical-affects	ADRA2B
CHEBI:10093	chemical-affects	ADRA2C
CHEBI:10093	chemical-affects	DRD2
CHEBI:10093	chemical-affects	DRD3
CHEBI:10093	chemical-affects	HTR1A
CHEBI:10093	chemical-affects	HTR1B
CHEBI:10093	chemical-affects	HTR1D
CHEBI:10093	chemical-affects	HTR2A
CHEBI:10093	chemical-affects	HTR2B
CHEBI:10093	chemical-affects	HTR2C
CHEBI:10093	chemical-affects	KCNJ10
CHEBI:10093	chemical-affects	KCNJ11
CHEBI:10093	chemical-affects	KCNJ12
CHEBI:10093	chemical-affects	KCNJ14
CHEBI:10093	chemical-affects	KCNJ15
CHEBI:10093	chemical-affects	KCNJ1
CHEBI:10093	chemical-affects	KCNJ8
CHEBI:10100	chemical-affects	CYSLTR1
CHEBI:10102	chemical-affects	GABRA1
CHEBI:10102	chemical-affects	TSPO
CHEBI:101064	chemical-affects	LSS
CHEBI:101085	chemical-affects	CA1
CHEBI:101085	chemical-affects	CA2
CHEBI:101085	chemical-affects	CA3
CHEBI:101085	chemical-affects	CA4
CHEBI:101085	chemical-affects	CA7
CHEBI:101096	chemical-affects	CA1
CHEBI:101096	chemical-affects	CA2
CHEBI:101096	chemical-affects	CA3
CHEBI:101096	chemical-affects	CA4
CHEBI:101096	chemical-affects	CA7
CHEBI:10110	chemical-affects	TERT
CHEBI:10112	chemical-affects	ALOX5
CHEBI:10119	chemical-affects	ADRA1A
CHEBI:10119	chemical-affects	ADRA1B
CHEBI:10119	chemical-affects	ADRA2A
CHEBI:10119	chemical-affects	ADRA2B
CHEBI:10119	chemical-affects	ADRA2C
CHEBI:10119	chemical-affects	CHRM1
CHEBI:10119	chemical-affects	CHRM2
CHEBI:10119	chemical-affects	CHRM3
CHEBI:10119	chemical-affects	CHRM4
CHEBI:10119	chemical-affects	CHRM5
CHEBI:10119	chemical-affects	DRD1
CHEBI:10119	chemical-affects	DRD2
CHEBI:10119	chemical-affects	DRD3
CHEBI:10119	chemical-affects	DRD4
CHEBI:10119	chemical-affects	DRD5
CHEBI:10119	chemical-affects	HRH1
CHEBI:10119	chemical-affects	HTR1A
CHEBI:10119	chemical-affects	HTR1B
CHEBI:10119	chemical-affects	HTR1D
CHEBI:10119	chemical-affects	HTR1E
CHEBI:10119	chemical-affects	HTR2A
CHEBI:10119	chemical-affects	HTR2C
CHEBI:10119	chemical-affects	HTR3A
CHEBI:10119	chemical-affects	HTR6
CHEBI:10119	chemical-affects	HTR7
CHEBI:10124	chemical-affects	HTR1A
CHEBI:10124	chemical-affects	HTR1B
CHEBI:10124	chemical-affects	HTR1D
CHEBI:10124	chemical-affects	HTR1F
CHEBI:10125	chemical-affects	GABRA1
CHEBI:10125	chemical-affects	GABRA2
CHEBI:10125	chemical-affects	GABRA3
CHEBI:10125	chemical-affects	GABRG2
CHEBI:101278	chemical-affects	CACNA1C
CHEBI:101278	chemical-affects	CACNG1
CHEBI:10127	chemical-affects	CA10
CHEBI:10127	chemical-affects	CA11
