PARTICIPANT_A	COUNT
CHEBI:10014	1
CHEBI:100241	2
CHEBI:100246	1
CHEBI:10055	1
CHEBI:10082	6
CHEBI:10093	18
CHEBI:10100	1
CHEBI:10102	2
CHEBI:101064	1
CHEBI:101085	5
CHEBI:101096	5
CHEBI:10110	1
CHEBI:10112	1
CHEBI:10119	25
CHEBI:10124	4
CHEBI:10125	4
CHEBI:101278	2
CHEBI:10127	31
CHEBI:102029	1
CHEBI:102166	12
CHEBI:102167	1
CHEBI:102216	1
CHEBI:102524	20
CHEBI:10304	3
CHEBI:103931	1
CHEBI:103932	1
CHEBI:104017	6
CHEBI:10429	1
CHEBI:104872	2
CHEBI:10588	1
CHEBI:10607	1
CHEBI:10650	4
CHEBI:106738	10
CHEBI:107660	1
CHEBI:107736	5
CHEBI:109100	1
CHEBI:109540	1
CHEBI:109549	2
CHEBI:109558	1
CHEBI:110423	3
CHEBI:113454	1
CHEBI:113556	9
CHEBI:114785	2
CHEBI:116225	7
CHEBI:116278	1
CHEBI:116735	1
CHEBI:119915	4
CHEBI:125204	1
CHEBI:125354	1
CHEBI:125482	1
CHEBI:125562	1
CHEBI:125628	1
CHEBI:126237	6
CHEBI:126598	1
CHEBI:127342	11
CHEBI:130910	1
CHEBI:131169	2
CHEBI:131504	2
CHEBI:131517	1
CHEBI:131751	1
CHEBI:131762	9
CHEBI:131854	1
CHEBI:132084	1
CHEBI:132233	18
CHEBI:132268	1
CHEBI:132767	4
CHEBI:132774	3
CHEBI:133013	15
CHEBI:133017	2
CHEBI:133021	1
CHEBI:133023	1
CHEBI:133809	1
CHEBI:134066	4
CHEBI:134126	5
CHEBI:134677	4
CHEBI:134689	3
CHEBI:134699	1
CHEBI:134700	1
CHEBI:134702	10
CHEBI:134703	14
CHEBI:134709	2
CHEBI:134713	7
CHEBI:134714	1
CHEBI:134716	5
CHEBI:134718	1
CHEBI:134720	3
CHEBI:134721	1
CHEBI:134736	3
CHEBI:134765	2
CHEBI:134783	2
CHEBI:134813	1
CHEBI:134847	1
CHEBI:134870	1
CHEBI:134884	10
CHEBI:134895	1
CHEBI:134923	20
CHEBI:134966	2
CHEBI:134989	3
CHEBI:134990	3
CHEBI:134991	2
CHEBI:135002	1
CHEBI:135005	9
CHEBI:135010	1
CHEBI:135076	19
CHEBI:135089	4
CHEBI:135101	2
CHEBI:135123	3
CHEBI:135156	1
CHEBI:135183	1
CHEBI:135193	2
CHEBI:135207	1
CHEBI:135209	1
CHEBI:135212	2
CHEBI:135222	2
CHEBI:135227	3
CHEBI:135233	1
CHEBI:135285	1
CHEBI:135289	1
CHEBI:135314	1
CHEBI:135323	1
CHEBI:135339	1
CHEBI:135342	1
CHEBI:135349	2
CHEBI:135351	7
CHEBI:135356	1
CHEBI:135357	3
CHEBI:135370	2
CHEBI:135398	3
CHEBI:135413	1
CHEBI:135422	2
CHEBI:135440	5
CHEBI:135446	1
CHEBI:135456	1
CHEBI:135466	6
CHEBI:135470	1
CHEBI:135491	1
CHEBI:135521	3
CHEBI:135526	2
CHEBI:135530	5
CHEBI:135542	2
CHEBI:135552	1
CHEBI:135556	6
CHEBI:135563	3
CHEBI:135566	1
CHEBI:135569	5
CHEBI:135574	2
CHEBI:135589	14
CHEBI:135593	1
CHEBI:135594	4
CHEBI:135613	1
CHEBI:135624	2
CHEBI:135626	2
CHEBI:135627	3
CHEBI:135630	2
CHEBI:135633	1
CHEBI:135642	3
CHEBI:135652	5
CHEBI:135660	2
CHEBI:135666	2
CHEBI:135673	2
CHEBI:135679	2
CHEBI:135686	3
CHEBI:135696	1
CHEBI:135697	2
CHEBI:135720	1
CHEBI:135731	1
CHEBI:135736	2
CHEBI:135737	8
CHEBI:135738	4
CHEBI:135741	3
CHEBI:135746	4
CHEBI:135747	1
CHEBI:135756	1
CHEBI:135769	4
CHEBI:135771	1
CHEBI:135779	1
CHEBI:135783	1
CHEBI:135791	1
CHEBI:135793	1
CHEBI:135804	1
CHEBI:135806	12
CHEBI:135810	1
CHEBI:135811	1
CHEBI:135820	1
CHEBI:135821	10
CHEBI:135841	2
CHEBI:135845	1
CHEBI:135847	3
CHEBI:135849	11
CHEBI:135859	2
CHEBI:135876	1
CHEBI:135883	1
CHEBI:135888	2
CHEBI:135899	4
CHEBI:135901	2
CHEBI:135905	3
CHEBI:135906	2
CHEBI:135910	1
CHEBI:135913	1
CHEBI:135919	3
CHEBI:135920	5
CHEBI:135922	4
CHEBI:135923	1
CHEBI:135925	1
CHEBI:135926	1
CHEBI:135927	5
CHEBI:135929	3
CHEBI:135930	1
CHEBI:135931	3
CHEBI:135935	6
CHEBI:135937	4
CHEBI:135938	3
CHEBI:135939	3
CHEBI:135947	2
CHEBI:135948	1
CHEBI:135949	2
CHEBI:135952	1
CHEBI:135954	1
CHEBI:135956	4
CHEBI:135957	2
CHEBI:135961	1
CHEBI:135962	3
CHEBI:135967	2
CHEBI:135973	1
CHEBI:135976	2
CHEBI:135981	10
CHEBI:135983	1
CHEBI:136007	2
CHEBI:136010	2
CHEBI:136018	4
CHEBI:136033	1
CHEBI:136034	1
CHEBI:136040	2
CHEBI:136044	1
CHEBI:136045	1
CHEBI:136046	2
CHEBI:136051	1
CHEBI:136052	1
CHEBI:137045	1
CHEBI:137236	2
CHEBI:138033	4
CHEBI:138488	3
CHEBI:138683	1
CHEBI:138828	1
CHEBI:138865	2
CHEBI:1391	7
CHEBI:140420	1
CHEBI:140421	1
CHEBI:140478	1
CHEBI:140618	2
CHEBI:140621	1
CHEBI:140907	1
CHEBI:141346	1
CHEBI:141473	1
CHEBI:141517	1
CHEBI:141552	1
CHEBI:141969	1
CHEBI:142290	1
CHEBI:142437	1
CHEBI:143117	1
CHEBI:143120	1
CHEBI:144421	1
CHEBI:144434	1
CHEBI:149226	3
CHEBI:15344	1
CHEBI:15345	3
CHEBI:15346	8
CHEBI:15354	8
CHEBI:15355	6
CHEBI:15365	22
CHEBI:15367	19
CHEBI:15375	4
CHEBI:15397	4
CHEBI:15407	4
CHEBI:15409	12
CHEBI:15414	8
CHEBI:15422	42
CHEBI:15428	30
CHEBI:15430	1
CHEBI:15532	1
CHEBI:15533	3
CHEBI:15544	3
CHEBI:15551	5
CHEBI:15552	3
CHEBI:15553	1
CHEBI:15555	2
CHEBI:15603	6
CHEBI:15607	1
CHEBI:15640	1
CHEBI:15641	1
CHEBI:15647	3
CHEBI:15672	5
CHEBI:15698	2
CHEBI:15702	4
CHEBI:15708	1
CHEBI:15713	1
CHEBI:157175	1
